Date,Site,#,CW,Color,boat,boat+wet,boat+dry,bag,bag+pre,bag+post,crucible,cruc+pre,cruc+post
5/16/22,Bristol,46,16.5,4,1063.038,1260.400,1164.157,196.705,297.334,294.660,2955.311,3055.871,2967.962
5/16/22,Bristol,47,21.0,4,1084.903,1544.013,1264.997,195.090,373.419,370.799,2833.335,3011.535,2851.783
5/16/22,Bristol,48,21.8,4,1118.205,1558.982,1300.882,197.655,378.557,375.410,2467.872,2648.309,2487.899
5/16/22,Bristol,49,14.2,3,1077.108,1194.950,1147.563,197.656,267.142,265.810,2874.095,2944.354,2880.917
5/16/22,Bristol,50,13.0,3,1047.094,1119.925,1094.040,194.653,240.658,239.562,2526.142,2573.112,2529.609
5/16/22,Bristol,51,13.2,4,1060.386,1130.232,1103.442,196.342,237.059,235.452,2795.510,2837.844,2797.885
5/16/22,Bristol,52,13.2,4,1093.042,1206.307,1150.146,196.781,251.813,250.427,2971.872,3028.238,2974.503
5/16/22,Bristol,53,20.8,4,1078.980,1457.803,1254.552,197.789,371.396,370.646,3001.795,3177.466,3017.979
5/16/22,Bristol,54,16.2,4,1084.089,1304.885,1184.084,196.553,294.982,293.988,2764.462,2864.268,2770.855
5/16/22,Bristol,55,14.0,4,1113.551,1218.600,1168.719,194.246,247.695,246.522,2751.883,2806.832,2755.646
5/16/22,Bristol,56,13.8,3,1066.228,1161.867,1122.490,197.771,252.366,251.482,2563.884,2620.265,2566.718
5/16/22,Bristol,57,10.9,2,1114.009,1137.577,1134.206,193.380,211.790,211.099,2586.289,2606.309,2588.425
5/16/22,Bristol,58,16.0,3,1086.950,1288.905,1184.681,194.867,290.828,288.871,2888.375,2984.234,2894.737
5/16/22,Bristol,59,16.3,4,1114.265,1253.957,1200.361,193.601,278.306,277.382,2912.493,2998.484,2919.902
5/16/22,Bristol,60,17.3,2,1084.088,1326.698,1202.183,198.019,314.712,313.727,2721.652,2839.275,2725.002
5/16/22,Bristol,61,17.3,2,1118.430,1324.977,1245.214,197.306,322.463,321.585,2954.561,3080.547,2968.499
5/16/22,Bristol,62,15.1,4,1113.510,1217.993,1185.690,197.388,268.055,266.978,2841.488,2913.553,2842.871
5/16/22,Bristol,63,12.7,4,1103.831,1198.265,1153.446,196.803,244.728,243.776,2467.355,2516.901,2470.579
5/16/22,Bristol,64,19.0,4,1076.460,1340.528,1222.556,197.511,342.573,341.345,2874.542,3020.521,2896.729
